id,type,name,yearpublished,minplayers,maxplayers,playingtime,minplaytime,maxplaytime,minage,users_rated,average_rating,bayes_average_rating,total_owners,total_traders,total_wanters,total_wishers,total_comments,total_weights,average_weight
23919,boardgame,China Rails,2007,2,6,240,180,240,10,215,7.1286,5.88128,392,14,28,59,82,25,2.76
4920,boardgame,5th Fleet,1989,2,4,180,180,180,12,237,7.06266,5.88123,597,11,33,55,77,34,3.4118
621,boardgame,25 Words or Less,1996,4,0,60,60,60,13,438,6.54146,5.88074,601,55,13,42,209,44,1.5455
56758,boardgame,BasketBoss,2009,2,5,50,50,50,10,457,6.43223,5.88046,471,38,41,80,183,71,2.1268
4753,boardgame,King's Gate,2002,2,4,30,30,30,9,756,6.23769,5.88041,1213,115,16,54,316,108,2.0463
57073,boardgame,The Fires of Midway,2010,1,4,60,60,60,0,191,7.43592,5.88015,391,12,62,151,111,39,2.5897
147537,boardgame,Malifaux Second Edition,2013,2,2,90,90,90,0,117,8.35085,5.88005,298,13,9,25,26,18,3.7222
539,boardgame,Dampfross,1979,2,6,90,90,90,10,586,6.36101,5.87994,1200,66,18,62,206,67,2.2239
4921,boardgame,3rd Fleet,1990,2,4,180,180,180,12,218,7.19266,5.87955,547,11,33,56,77,32,3.5
102,boardgame,Klunker,1999,3,5,30,30,30,10,749,6.23113,5.87928,1254,98,32,86,317,82,1.7927
22359,boardgame,Steel Wolves: The German Submarine Campaign Against Allied Shipping  Vol 1,2010,1,1,3000,3000,3000,12,152,7.7622,5.87927,702,24,92,341,96,51,3.9804
14035,boardgame,Piranha Pedro,2004,2,6,30,30,30,8,687,6.2369,5.8789,597,17,58,119,241,85,1.2941
155025,boardgame,The Magnates: A Game of Power,2014,2,5,90,90,90,10,209,7.24689,5.87886,303,5,40,163,41,29,2.4138
157088,boardgame,ESSEN The Game: SPIEL'13,2014,2,5,75,75,75,10,230,7.09039,5.8784,442,10,17,76,75,26,2.8462
